Z_Threshold,High_Vol_Z_Threshold,Z_Window,Fee_Rate,Max_Assets,SL_Stop,Use_Dynamic_Z,Use_HTF_SMA_Filter,Use_Refined_Exit,Use_Hard_Stops,Final_Value,Total_Return_%,Sharpe_Ratio,Max_Drawdown_%,Total_Trades
2.5,2.5,12,0.0,5,0.02,True,True,False,False,387245.2008411846,287.2452008411846,2.0520236146094635,-14.042036417470305,7667
3.0,2.5,12,0.0,5,0.02,True,True,False,False,384183.2877334765,284.1832877334765,2.0465196429467536,-14.032389071023676,6580
3.5,2.5,12,0.0,5,0.02,True,True,False,False,363787.93975489587,263.78793975489583,1.9530461674705581,-14.214458235308536,5798
2.5,2.0,12,0.0,5,0.02,True,True,False,False,382477.4533804504,282.47745338045036,1.8526096121878333,-14.611568448197588,9265
3.0,2.0,12,0.0,5,0.02,True,True,False,False,379094.8198939939,279.0948198939939,1.8378833761440474,-15.059757810679153,8195
3.5,2.0,12,0.0,5,0.02,True,True,False,False,360486.68038006825,260.48668038006826,1.752075191255284,-15.616854394817459,7425
3.0,1.5,12,0.0,5,0.02,True,True,False,False,346117.0492514728,246.11704925147282,1.5420216154935793,-17.64250342175364,10199
2.5,1.5,12,0.0,5,0.02,True,True,False,False,345403.8045853671,245.40380458536708,1.54126910116323,-17.28756270177221,11253
3.5,1.5,12,0.0,5,0.02,True,True,False,False,325806.0947799728,225.8060947799728,1.4512924447410935,-18.30265772911458,9436
