Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
26,AVAXUSDT,3157.7617784514337,2021-01-11 00:15:00,6.3336,0.0,2021-01-11 08:00:00,6.1052,0.0,-721.2327901983081,-0.0360616395099154,Long,Closed,26
27,AVAXUSDT,2635.0113964242896,2021-01-12 19:15:00,7.5901,0.0,2021-01-12 21:00:00,7.7464,0.0,411.85228126111906,0.02059261406305595,Long,Closed,27
28,AVAXUSDT,2792.477066782089,2021-01-13 01:00:00,7.162100000000001,0.0,2021-01-13 03:30:00,7.4501,0.0,804.233395233241,0.04021166976166205,Long,Closed,28
29,AVAXUSDT,2617.9381119430336,2021-01-13 18:15:00,7.6396,0.0,2021-01-13 19:30:00,7.6988,0.0,154.9819362270282,0.00774909681135141,Long,Closed,29
30,AVAXUSDT,2249.187481022481,2021-01-14 19:00:00,8.8921,0.0,2021-01-14 22:30:00,9.1021,0.0,472.3293710147227,0.023616468550736135,Long,Closed,30
31,AVAXUSDT,2240.846143503787,2021-01-15 06:00:00,8.9252,0.0,2021-01-15 06:45:00,9.187,0.0,586.6535203692911,0.029332676018464555,Long,Closed,31
32,AVAXUSDT,2242.755898448013,2021-01-15 16:15:00,8.9176,0.0,2021-01-15 19:30:00,9.3483,0.0,965.9549654615585,0.04829774827307792,Long,Closed,32
33,AVAXUSDT,1527.3121596957594,2021-01-17 14:00:00,13.0949,0.0,2021-01-17 19:45:00,13.0282,0.0,-101.87172105170612,-0.005093586052585306,Long,Closed,33
34,AVAXUSDT,1535.0607884072208,2021-01-18 13:00:00,13.0288,0.0,2021-01-18 14:15:00,13.281,0.0,387.14233083630097,0.01935711654181505,Long,Closed,34
35,AVAXUSDT,1568.3691313587565,2021-01-18 22:30:00,12.7521,0.0,2021-01-19 05:15:00,12.6571,0.0,-148.99506747908526,-0.007449753373954263,Long,Closed,35
36,AVAXUSDT,1596.1691939345571,2021-01-19 18:00:00,12.53,0.0,2021-01-19 21:15:00,12.3581,0.0,-274.38148443734826,-0.013719074221867413,Long,Closed,36
37,AVAXUSDT,1690.9172380557834,2021-01-19 23:15:00,11.8279,0.0,2021-01-20 00:30:00,12.0626,0.0,396.858275771694,0.0198429137885847,Long,Closed,37
38,AVAXUSDT,1640.9987118160113,2021-01-21 02:45:00,12.1877,0.0,2021-01-21 03:00:00,12.4265,0.0,391.8704923816658,0.019593524619083293,Long,Closed,38
39,AVAXUSDT,1739.5842393667913,2021-01-21 22:15:00,11.497,0.0,2021-01-22 01:45:00,11.38,0.0,-203.53135600591486,-0.010176567800295742,Long,Closed,39
40,AVAXUSDT,1579.8412259567915,2021-01-23 13:15:00,12.6595,0.0,2021-01-23 15:30:00,13.0611,0.0,634.4642363442508,0.03172321181721254,Long,Closed,40
41,AVAXUSDT,1565.5577299412917,2021-01-23 22:30:00,12.774999999999999,0.0,2021-01-23 23:45:00,12.9447,0.0,265.67514677103827,0.013283757338551914,Long,Closed,41
42,AVAXUSDT,1577.025886879933,2021-01-24 16:00:00,12.6821,0.0,2021-01-24 18:45:00,12.7901,0.0,170.31879578303415,0.008515939789151708,Long,Closed,42
43,AVAXUSDT,1620.850622406639,2021-01-24 19:30:00,12.3392,0.0,2021-01-24 23:00:00,12.4883,0.0,241.66882780083324,0.012083441390041662,Long,Closed,43
44,AVAXUSDT,1619.643030676039,2021-01-25 00:15:00,12.3484,0.0,2021-01-25 01:00:00,12.464,0.0,187.2307343461507,0.009361536717307536,Long,Closed,44
45,AVAXUSDT,1584.786053882726,2021-01-25 09:45:00,12.62,0.0,2021-01-25 12:30:00,12.7261,0.0,168.14580031696096,0.008407290015848048,Long,Closed,45
46,AVAXUSDT,1608.9069086462657,2021-01-25 18:45:00,12.4308,0.0,2021-01-26 00:15:00,12.3407,0.0,-144.9625124690283,-0.007248125623451415,Long,Closed,46
47,AVAXUSDT,1694.0682201272245,2021-01-26 03:45:00,11.8059,0.0,2021-01-26 10:45:00,11.9564,0.0,254.95726712914984,0.012747863356457492,Long,Closed,47
48,AVAXUSDT,1727.9364119400404,2021-01-26 13:00:00,11.5745,0.0,2021-01-26 15:45:00,11.8811,0.0,529.785303900815,0.026489265195040752,Long,Closed,48
49,AVAXUSDT,1683.5016835016834,2021-01-27 00:30:00,11.88,0.0,2021-01-27 06:30:00,11.6701,0.0,-353.36700336700596,-0.0176683501683503,Long,Closed,49
